,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
0,0,0.07506400132141065,-36707.370389578304,218.6168813967611,0.33932195481089383,-6.947114237681297,5.575086919329131,4.160115480286668,80.0192200384401,7173360.99999996,0.07506400132141065,Benign
1,1,0.0445548862739442,-32826.54362731173,249.69720494838097,0.28276404461385685,-7.642266058334093,5.998138414989613,4.426653190115404,80.00356500713004,7173361.000000006,0.0445548862739442,Benign
2,2,0.021680259874640437,-24594.7627452197,358.4138679893083,0.2113449825675096,-9.177549701425392,6.543959219078516,5.0650876092324975,80.00418500837003,7173361.000000052,0.021680259874640437,Benign
3,3,0.0011905104667089851,-16827.870969350803,564.1301792182603,0.09012831083742662,-10.699937060872571,7.18235874789958,5.653513011337729,80.01395002790004,7173360.999999935,0.0011905104667089851,Benign
4,4,0.003256840030268903,-21761.690417266447,421.25100279309635,0.1278963312845234,-10.235052500231491,7.014332373454693,5.353449991554219,79.99348998697997,7173360.999999965,0.003256840030268903,Benign
5,5,0.0012250293043466927,-18440.36127315996,516.9347738552876,0.09382919420211343,-10.63841690979008,7.128255204468189,5.592848265905715,79.99581499163003,7173360.999999957,0.0012250293043466927,Benign
6,6,0.0011670956080496399,-17003.948240618,558.7822360042388,0.09477119529699665,-10.733705746104595,7.183358633583679,5.651928702896492,79.99488498977,7173360.999999989,0.0011670956080496399,Benign
7,7,0.007459288698046874,-24077.509923285765,370.3117704142904,0.15844046784530844,-9.635338792548692,6.824531537128262,5.164918690354439,80.01023002046003,7173361.000000007,0.007459288698046874,Benign
8,8,0.0018614122663447568,-20588.57557987312,449.4719289547079,0.10853201664630527,-10.440781220487708,7.075173787054538,5.444274833344351,79.98573997147999,7173361.000000061,0.0018614122663447568,Benign
9,9,0.028261962084657286,-29658.152921252873,285.3079052087796,0.23955091707680737,-8.33484490622143,6.304183095783125,4.709360196681849,80.00496000992003,7173361.000000011,0.028261962084657286,Benign
10,10,0.0013792941310772533,-17929.196241429785,531.2238276128854,0.09985351039954464,-10.549034635667034,7.119164143468057,5.6081659679294145,79.91598983197964,7173361.000000092,0.0013792941310772533,Benign
11,11,0.00432028134326441,-22472.579611723246,405.322932550819,0.13684489336399494,-10.048785864199449,6.961571353587191,5.302423018616653,80.00914501829007,7173361.0000000065,0.00432028134326441,Benign
12,12,0.003144552812448606,-17424.16172821238,553.0405426744885,0.13224537539439926,-10.202400207131694,7.016395363232332,5.56941786051761,79.97550995101992,7173360.999999962,0.003144552812448606,Benign
13,13,0.034469438346271135,-30831.916988604866,273.7241828383465,0.25656817190487896,-8.100185284334145,6.1857659326488585,4.6205434396791265,80.00759501519,7173361.000000032,0.034469438346271135,Benign
