,index,asm,correlation,variance,idm,entropy,sum_entropy,difference_entropy,sum_avg,contrast,energy,type
0,0,0.002572153951871081,-20206.9089652997,450.2455651008394,0.11735083465870454,-10.38402464717752,7.060781433516014,5.423414172913738,79.98480996961993,7173361.000000017,0.002572153951871081,Normal
1,1,0.0010791364728228291,-17759.373141548112,534.1657282688363,0.0901967984910858,-10.758192046552425,7.166327226929453,5.618988522330618,79.97705995411995,7173361.000000013,0.0010791364728228291,Normal
2,2,0.0011279780366732618,-18110.637451933104,522.5727672398989,0.08807801356693458,-10.699596041065176,7.148321413399554,5.608004974617191,79.99519499038999,7173361.000000045,0.0011279780366732618,Normal
3,3,0.001158881112363562,-18180.568925087944,520.7863160152508,0.091607782663672,-10.710699831249036,7.148377157386842,5.593009875008006,79.98046996093996,7173360.999999967,0.001158881112363562,Normal
4,4,0.0011182150634807808,-17912.065768126584,529.2195518165603,0.09251868239947748,-10.731421043001273,7.160976803336713,5.618992711895431,79.98821997643994,7173360.999999998,0.0011182150634807808,Normal
5,5,0.003447741086419227,-20538.92988223993,453.5141464532419,0.1270339237787783,-10.28749557903577,7.0013438518714155,5.441116770559292,79.9034348068696,7173360.999999991,0.003447741086419227,Normal
6,6,0.01999513081995945,-24984.106502034618,354.2904085808172,0.21274856169410786,-9.213591988815173,6.5732502004864,5.044244721410735,79.90219480438958,7173360.999999995,0.01999513081995945,Normal
7,7,0.0013968654106591935,-18892.9804214978,494.1359030436459,0.10001114662270949,-10.66125051765267,7.12963686788523,5.54439407385501,79.96186992373988,7173361.000000021,0.0013968654106591935,Normal
8,8,0.0010524474590512542,-17520.54687353149,542.4452999014497,0.09093086472663926,-10.78634589344881,7.181534851065427,5.636086063760227,79.98186496372998,7173361.000000013,0.0010524474590512542,Normal
9,9,0.0011658428344291738,-17297.38426187942,555.8574740830429,0.08437079684397586,-10.628089797645124,7.152013854911838,5.662620263918506,79.93861987723977,7173361.00000005,0.0011658428344291738,Normal
10,10,0.0019876311719073687,-18709.092584623504,503.1591742841246,0.10592560851610505,-10.409397513679785,7.05802056260236,5.554327393719973,79.93737987475973,7173361.000000038,0.0019876311719073687,Normal
11,11,0.01993475306565183,-24730.263886637567,361.17027783593664,0.21381323944703928,-9.141662329810071,6.534642706679796,5.058358214553408,79.92544485088965,7173360.999999988,0.01993475306565183,Normal
12,12,0.00162234782975985,-19440.72672375071,474.94791376463525,0.10774057094839623,-10.639776567208811,7.132806297041266,5.486063359629617,79.97535495070987,7173360.9999999935,0.00162234782975985,Normal
13,13,0.0011481943141632897,-18554.714767773065,508.6871458366885,0.09133171682930832,-10.712196861662761,7.145092004609918,5.582010592612161,80.00542501085002,7173361.000000024,0.0011481943141632897,Normal
14,14,0.0013364726106350998,-16615.878094849922,582.7136711034533,0.08538867403667852,-10.508455015243383,7.153913815455583,5.688151374275315,79.93195486390965,7173360.999999998,0.0013364726106350998,Normal
